127.0.0.1 - - [22/Apr/2015:16:13:32 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:13:47 +0530] "GET /Forex HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:13:47 +0530] "GET /Forex/ HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:13:48 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:13:48 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:19:37 +0530] "POST /Forex/TransactionRH HTTP/1.1" 200 3893
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:20:16 +0530] "GET /Forex/TransactionBuyRH HTTP/1.1" 200 14816
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:20:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:20:47 +0530] "POST /Forex/TransactionBuyRH HTTP/1.1" 200 3898
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:20:56 +0530] "GET /Forex/TransactionBuyRH HTTP/1.1" 200 14830
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:20:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:21:05 +0530] "POST /Forex/TransactionBuyRH HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:21:10 +0530] "GET /Forex/TransactionRH HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:21:14 +0530] "GET /Forex/TransactionBuyRH HTTP/1.1" 200 14837
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:21:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:21:21 +0530] "POST /Forex/TransactionBuyRH HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:21:26 +0530] "GET /Forex/TransactionBuyRH HTTP/1.1" 200 14841
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:21:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:21:34 +0530] "POST /Forex/TransactionBuyRH HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:21:40 +0530] "GET /Forex/TransactionRH HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:21:46 +0530] "GET /Forex/TransactionBuyRH HTTP/1.1" 200 14852
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:21:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:22:07 +0530] "POST /Forex/ForwardRateRH?Currency=AUD&FwdDate=25-April-2015 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:22:19 +0530] "POST /Forex/TransactionBuyRH HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:22:27 +0530] "GET /Forex/TransactionSellRH HTTP/1.1" 200 13882
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:22:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:22:32 +0530] "GET /Forex/TnxSummaryRH HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:22:36 +0530] "GET /Forex/TransactionBuyRH HTTP/1.1" 200 14852
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:22:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:22:59 +0530] "POST /Forex/ForwardRateRH?Currency=USD&FwdDate=23-April-2015 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:23:03 +0530] "POST /Forex/TransactionBuyRH HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:23:11 +0530] "GET /Forex/TnxSummaryRH HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:23:17 +0530] "GET /Forex/TransactionBuyRH HTTP/1.1" 200 14852
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:23:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:23:35 +0530] "POST /Forex/ForwardRateRH?Currency=EURO&FwdDate=24-April-2015 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:23:37 +0530] "POST /Forex/TransactionBuyRH HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:23:43 +0530] "GET /Forex/TnxSummaryRH HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:23:48 +0530] "GET /Forex/TransactionBuyRH HTTP/1.1" 200 14851
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:23:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:23:54 +0530] "GET /Forex/TransactionSellRH HTTP/1.1" 200 13882
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:23:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:24:15 +0530] "POST /Forex/ForwardRateRH?Currency=JPY&FwdDate=24-April-2015 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:24:25 +0530] "POST /Forex/TransactionSellRH HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:24:29 +0530] "GET /Forex/TnxSummaryRH HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:24:37 +0530] "GET /Forex/TransactionBuyRH HTTP/1.1" 200 14849
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:24:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:24:50 +0530] "POST /Forex/TransactionBuyRH HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [22/Apr/2015:16:24:55 +0530] "GET /Forex/LogOutRH HTTP/1.1" 200 2103
